node_id	osm_name	lat	lon	watercourse	feature_id	feature_name	metres
535648029	Upper Linville Falls	35.9501675	-81.9278086	Linville River	395	Linville Falls	8
535686355	Adako Falls	35.913381	-81.688181				
535737774	Upper Catawba Falls	35.6019545	-82.2474795	Catawba River	821	Upper Catawba Falls	8
535741570	Glen Burney Falls	36.1234708	-81.6841541	New Years Creek	420	Glen Burney Falls	25
535770693	Lower Thunderhole Falls	36.1034318	-81.6961786	Thunderhole Creek	769	Lower Thunderhole Falls	2
535845475	Harper Creek Falls	35.9830458	-81.7797249	Harper Creek	367	Harper Creek Falls	35
535853004		35.5757238	-80.836847	Reeds Creek			
536028561	Toms Creek Falls	35.777648	-82.0624363	Toms Creek	398	Tom's Creek Falls	76
536167786	Burnthouse Branch Falls	35.950961	-81.822583	Burnthouse Branch	945	Burnthouse Branch Falls	21
536202095	Phillips Branch Falls	35.968335	-81.771502	Phillips Branch	785	Phillips Branch Falls	51
536221034	Buck Creek Falls	35.911241	-81.849728	Buck Creek	903	Buck Creek Falls	27
536247975	Teacups Falls	35.924828	-81.847154	Steels Creek	793	Teacup Falls	21
536247995	Beverly Hillbilly Falls	35.923476	-81.847417	Steels Creek	794	Beverly Hillbilly Falls	6
536248089	Steels Creek Falls	35.91903	-81.847563	Steels Creek	311	Steels Creek Falls	17
536252369	Upper Little Lost Cove Falls	36.021485	-81.830813	Little Lost Cove Creek	782	Upper Little Lost Cove Falls	31
536269240		36.1233422	-81.6966092	China Creek			
539624449	High Shoals Falls	35.594435	-81.6355368	Jacob Fork	363	High Shoals Falls	8
539699726	Little Long Creek Falls	35.333914	-81.220076	Little Long Creek			
541281126		36.6368006	-81.520662	Cabin Creek			
541944586		36.4236986	-81.5940414				
542312054		36.4198094	-81.5967894				
545214997	Scandin Falls	35.0847254	-83.2669136	Cullasaja River	552	Scadin Falls	45
545240551	Townhouse Falls	35.342894	-83.586534	Townhouse Branch	759	Townhouse Falls	15
545275786	Inside Passage Falls	35.285706	-83.676938	Ledbetter Creek	1203	Inside Passage Falls	19
545284961	Hazel Creek Cascades	35.5450523	-83.5828928	Hazel Creek	925	Hazel Creek Cascades	10
545881967	Dry Falls	35.0686293	-83.2389952	Cullasaja River	360	Dry Falls	9
545945764	Big Laurel Falls	35.0181168	-83.5058299	Big Laurel Branch	326	Big Laurel Falls	51
545971561	Mooney Falls	35.028437	-83.497302	Hemp Patch Branch			
546016353	Bridal Veil Falls	35.0719057	-83.228884		553	Bridle Veil Falls (Highlands)	2
547024189	Greenland Creek Falls	35.1507426	-82.9980049	Greenland Creek	344	Greenland Creek Falls	5
547057017	Big Branch Falls	35.228591	-83.050856	Big Branch	990	Big Branch Falls	5
547059132	Sols Creek Falls	35.2377592	-83.0350359	Sols Creek	992	Sols Creek Falls	55
547074675	Upper Buff Creek Falls	35.4285339	-83.1565486	Buff Creek	753	Buff Falls	14
547145038	Gina Falls	35.4388308	-83.1903272	Fisher Creek	905	Gina Falls	32
547146876	Roy Taylor Falls	35.279396	-83.012553	Sols Creek	654	Roy Talyor Falls	22
547157494	High Falls	35.203748	-83.159848	West Fork Tuckasegee River	431	High Falls (Cullowhee Falls)	39
547194461	Lower Bald Knob Falls	35.251456	-82.938231				
547200429	Wilderness Falls	35.1640427	-83.0423623		1264	Wilderness Falls	7
547204116	Verde Falls	35.2232758	-83.0451115	Robinson Creek	991	Verde Falls	18
547205877	Julie Falls	35.1826112	-83.0661374	Mill Creek			
547214685	Cavern Falls	35.238707	-82.953887		735	Lower Cavern Falls	89
547220765	Rock Slab Falls	35.54452	-83.507307	Forney Creek			
547223988	Woodfin Falls	35.4490261	-83.1007793	Woodfin Creek			
547247587	Frolictown Falls	35.1620539	-83.038169	Frolictown Creek	1265	Frolictown Falls	8
547251522	Upper Bear Creek Falls	35.4706959	-83.5773259	Bear Creek	1001	Upper Bear Creek Falls	5
547260950	Lower Buff Creek Falls	35.4269538	-83.1570441	Buff Creek	752	Lower Buff Falls	79
547286956	Patricia Falls	35.2644106	-82.9703126	Wolf Creek	964	Patricia Falls	9
