1151	Umbrella Rock Falls	1	75
1152	Bigger Fall on Small Trib Falls	1	75
1154	Upper Distillery Falls	1	75
1155	Upland Laurel Falls (Dryland Laurel Branch)	1	75
1156	Woodland Laurel Falls (Dryland Laurel Branch)	3	75
1157	Little Ledge Falls (Dryland Laurel Branch)	1	75
1158	Rockland Laurel Falls (Dryland Laurel Branch)	1	75
1171	Palmetto Trail Falls (SC)	1	75
1177	Doghobble Falls (West Campbell Creek)	1	75
1178	Jootum Falls	2	75
1179	West Campbell Creek Falls	3	75
1180	Yurt Villiage Falls	3	75
1181	Burgess Falls	3	75
921	Berties Falls	3	75
932	Falls on Horse Cove Branch tributary	7	75
933	Fall Creek Falls (Hanging Rock)	1	75
937	The Energizer (Falls)	2	75
946	Raven Cliff Falls	1	75
949	Laurel Falls (Corbin Creek)	1	75
956	Stillwater Branch Falls	1	75
958	Lower Log Hollow Falls	1	75
959	Middle Log Hollow Falls	1	75
961	Hugh Heffner Falls	1	75
968	Rachel Creek Falls	2	75
969	Middle Rachel Creek Falls	2	75
973	Waterfall on Trib of Laurel Creek	1	75
975	Hamlin Falls	3	75
976	Waterfall #10 on Wattacoo Creek	3	75
977	Waterfall #9 on Wattacoo Creek	1	75
978	Waterfall #8 on Wattacoo Creek	1	75
989	Dargans Cascade (Silver Steps Falls)	2	75
993	Baby Bradley Falls	1	75
994	Son of Bradley Falls	1	75
567	Wheelchair Accessible Falls	1	75
587	Marilu Bradley Falls	3	75
591	Cashier's Sliding Rock	1	75
601	Cedar Falls (Fountain Inn)	2	75
607	Pinkie Falls	5	75
608	Waterfall on Skitty Creek	3	75
618	Waterfall #1 on Pinnacle MTN Trail	1	75
619	Waterfall #2 on Pinnacle MTN Trail	3	75
620	Waterfall #3 on Pinnacle MTN Trail	1	75
621	Waterfall #4 on Pinnacle MTN Trail	1	75
623	Lower Waterfall in Upper Bennett Cove	1	75
624	Middle Waterfall In Upper Bennett Cove	1	75
625	Upper Waterfall in Upper Bennett Cove	3	75
626	Lower Waterfall in Cherry Cove	1	75
628	Upper Waterfall in Cherry Cove	1	75
631	Catstairs Falls	5	75
635	Waterfall on Williamson Creek	1	75
1066	Gamelands Falls	1	75
1068	Locust Tree Lake Falls	2	75
1069	Rainbow Falls (Private along US64)	1	75
1070	Bushwhack Falls (SC)	1	75
1071	Upper Laurel Fork Falls (SC)	1	75
1073	Christopher Falls (SC)	2	75
1075	Waterfall #1 on Chucky Branch	1	75
1076	Waterfall #2 on Chucky Branch	1	75
1077	Waterfall #3 on Chucky Branch	1	75
1078	Waterfall #4 on Chucky Branch	1	75
1079	Waterfall #5 on Chucky Branch	1	75
1080	Waterfall #6 on Chucky Branch	1	75
